编号,钩子类型,标签,Hook(0-3s),展开(3-8s),峰值(8-12s),留白(12-15s),评论_引发讨论,评论_深化观点,评论_情感连接
23,speak_for_me,替我说,其实你比谁都清楚。,只是不想承认。,自欺欺人，只是因为真相太疼。,#真相往往很残忍,那句没说的话，后来说了吗？,不是不想说，是说了也没人懂。,你不需要解释，懂的人自然懂。
24,speak_for_me,替我说,你说的没事。,其实心里有事。,但你不想让任何人担心。,#这就是长大,你最想替自己说什么？,不是不想说，是说了也没人懂。,总会有人听你说完的。
25,speak_for_me,替我说,有些话说了矫情。,不说憋屈。,这就是成年人的常态。,#说与不说都难,那句没说的话，后来说了吗？,其实我们都在等一个能听懂的人。,你不需要解释，懂的人自然懂。
26,resonate_with_me,与我同频,凌晨三点。,你也在等一个人的消息吗？,明明知道不会有回复，还是舍不得放下手机。,#等消息等到凌晨的你,你们也有过这样的时候吗？,其实不是孤独，是还没遇到同类。,总会有人懂你的感受。
27,resonate_with_me,与我同频,你也是那种。,在人群中突然就很想家的人吧？,明明也没什么烦心事，但就是那一瞬间，鼻子一酸。,#想家不需要理由,你们是在什么瞬间有这种感觉的？,一个人扛着，确实很累。,你不是一个人。
28,resonate_with_me,与我同频,你也是那种。,表面坚强的人吧？,只有晚上一个人的时候，才敢偷偷哭。,#白天坚强，晚上脆弱,你们是在什么瞬间有这种感觉的？,一个人扛着，确实很累。,你不是一个人。
29,resonate_with_me,与我同频,你也是那种。,明明很难过却笑着说没事的人吧？,因为你知道，说出来也没人能帮你。,#笑着笑着说没事,你们是在什么瞬间有这种感觉的？,这种感受，经历过的人自然懂。,你不是一个人。
30,resonate_with_me,与我同频,你也是那种。,一个人吃饭一个人看电影的人吧？,不是没人陪，是不想迁就。,#一个人也挺好,你们是在什么瞬间有这种感觉的？,一个人扛着，确实很累。,一个人也可以好好生活。
31,resonate_with_me,与我同频,你也是那种。,晚上想的比白天多的人吧？,白天太忙，只有深夜才属于自己。,#一到晚上就多想,这种感受是不是只有自己懂？,这种感受，经历过的人自然懂。,你不是一个人。
32,resonate_with_me,与我同频,你也是那种。,听歌听到突然想哭的人吧？,某一首歌，仿佛唱的就是你。,#总有一首歌唱的是你,这种感受是不是只有自己懂？,其实不是孤独，是还没遇到同类。,一个人也可以好好生活。
33,resonate_with_me,与我同频,你也是那种。,想联系又不敢联系的人吧？,害怕打扰，更害怕已读不回。,#想联系又不敢联系,你们也有过这样的时候吗？,一个人扛着，确实很累。,你不是一个人。
34,resonate_with_me,与我同频,你也是那种。,明明很在意却装作不在乎吧？,因为你觉得，先开口就输了。,#装作不在乎的样子,你们也有过这样的时候吗？,其实不是孤独，是还没遇到同类。,总会有人懂你的感受。
35,resonate_with_me,与我同频,你也是那种。,白天正常，晚上EMO的人吧？,一到晚上就开始胡思乱想。,#晚上EMO综合征,你们也有过这样的时候吗？,其实不是孤独，是还没遇到同类。,一个人也可以好好生活。
36,resonate_with_me,与我同频,你也是那种。,看起来很忙其实很孤独吧？,忙到没时间社交，但内心却渴望陪伴。,#忙到没朋友,你们也有过这样的时候吗？,其实不是孤独，是还没遇到同类。,一个人也可以好好生活。
37,resonate_with_me,与我同频,你也是那种。,明明很累却还撑着的人吧？,因为你知道，倒下了没人帮你撑。,#成年人的世界,你们也有过这样的时候吗？,一个人扛着，确实很累。,你不是一个人。
38,resonate_with_me,与我同频,你也是那种。,发泄消息撤回的人吧？,打了一堆字，最后全部删除。,#消息打好又撤回,你们也有过这样的时候吗？,一个人扛着，确实很累。,一个人也可以好好生活。
39,resonate_with_me,与我同频,你也是那种。,一个人在陌生的城市生活吗？,孤独的时候，连呼吸都是冷的。,#一个人在大城市,你们是在什么瞬间有这种感觉的？,其实不是孤独，是还没遇到同类。,总会有人懂你的感受。
40,resonate_with_me,与我同频,你也是那种。,期待什么又怕失望吧？,期望越大，失望越痛。,#怕失望所以不敢期待,你们是在什么瞬间有这种感觉的？,一个人扛着，确实很累。,你不是一个人。
41,resonate_with_me,与我同频,你也是那种。,表面很酷心里很软吧？,嘴上说着无所谓，心里却在意得要命。,#外冷内热,这种感受是不是只有自己懂？,一个人扛着，确实很累。,总会有人懂你的感受。
42,resonate_with_me,与我同频,你也是那种。,一个人扛着很多事吧？,不想麻烦别人，所以什么都自己扛。,#什么都要自己扛,你们是在什么瞬间有这种感觉的？,其实不是孤独，是还没遇到同类。,一个人也可以好好生活。
43,resonate_with_me,与我同频,你也是那种。,笑得很开心心里却有事吧？,微笑面具戴久了，连真实的自己都忘了。,#微笑抑郁症,你们是在什么瞬间有这种感觉的？,其实不是孤独，是还没遇到同类。,一个人也可以好好生活。
44,resonate_with_me,与我同频,你也是那种。,突然就很累的人吧？,明明什么都没做，却感觉精疲力尽。,#没由来的疲惫,你们也有过这样的时候吗？,一个人扛着，确实很累。,总会有人懂你的感受。
45,resonate_with_me,与我同频,你也是那种。,对生活失去热情的人吧？,不是没有快乐，是快乐变得很贵。,#快乐变得很奢侈,你们是在什么瞬间有这种感觉的？,其实不是孤独，是还没遇到同类。,你不是一个人。
46,resonate_with_me,与我同频,你也是那种。,在地铁上突然发呆的人吧？,不知道在想什么，只是突然就空了。,#突然就发呆,你们是在什么瞬间有这种感觉的？,一个人扛着，确实很累。,总会有人懂你的感受。
47,resonate_with_me,与我同频,你也是那种。,不想社交只想宅着的人吧？,不是没朋友，是社交太累。,#社交恐惧症,这种感受是不是只有自己懂？,一个人扛着，确实很累。,总会有人懂你的感受。
48,resonate_with_me,与我同频,你也是那种。,对什么都提不起兴趣的人吧？,不是不想，是没动力。,#动力缺失症,这种感受是不是只有自己懂？,一个人扛着，确实很累。,你不是一个人。
49,resonate_with_me,与我同频,你也是那种。,突然就很丧的人吧？,明明昨天还好好的，今天就不行了。,#莫名的低落,这种感受是不是只有自己懂？,其实不是孤独，是还没遇到同类。,一个人也可以好好生活。
50,resonate_with_me,与我同频,你也是那种。,害怕一个人又习惯一个人吧？,这种矛盾，只有自己懂。,#矛盾的我们,你们也有过这样的时候吗？,一个人扛着，确实很累。,总会有人懂你的感受。
51,harsh_truths,扎心真相,不是没人追你。,是你不要。,你嫌弃这个，看不上那个。,#眼光太高,这个真相，扎心了吗？,说白了，就是不敢面对。,直面现实，才能成长。
52,harsh_truths,扎心真相,其实不是忘不掉那个人。,是你还不甘心。,不是因为爱，是因为投入太多。,#不甘心,你们还遇到过什么扎心真相？,说白了，就是不敢面对。,想通了就好了。
53,harsh_truths,扎心真相,说白了。,你不是没机会，你只是不敢。,机会来了，你却缩回去了。,#你不敢,这个真相，扎心了吗？,承认现实，才能改变。,想通了就好了。
54,harsh_truths,扎心真相,你不是社恐。,你只是没遇到感兴趣的人。,遇到喜欢的，你比谁都主动。,#只是没遇到对的人,你们觉得我说得对吗？,有时候真相就是那么残忍。,认清真相，依然热爱生活。
55,harsh_truths,扎心真相,其实你心里清楚。,只是不想面对。,自欺欺人，是最轻松的方式。,#自欺欺人,你们还遇到过什么扎心真相？,说白了，就是不敢面对。,直面现实，才能成长。
56,harsh_truths,扎心真相,不是他不好。,是你习惯了更好。,但更好的，不一定属于你。,#别太贪心,你们觉得我说得对吗？,承认现实，才能改变。,想通了就好了。
57,harsh_truths,扎心真相,你嘴上说随缘。,其实比谁都急。,嘴上说不在意，心里慌得一批。,#嘴上说随缘,这个真相，扎心了吗？,承认现实，才能改变。,直面现实，才能成长。
58,harsh_truths,扎心真相,不是生活太难。,是你想得太多。,做起来，其实没那么难。,#想太多,你们觉得我说得对吗？,承认现实，才能改变。,认清真相，依然热爱生活。
59,harsh_truths,扎心真相,不是你不努力。,是你方向错了。,努力在错误的方向，只会越努力越错。,#方向比努力重要,你们还遇到过什么扎心真相？,说白了，就是不敢面对。,认清真相，依然热爱生活。
60,harsh_truths,扎心真相,其实你怕的不是失败。,是丢人。,你怕别人看到你的狼狈。,#怕丢人,这个真相，扎心了吗？,承认现实，才能改变。,认清真相，依然热爱生活。
61,harsh_truths,扎心真相,不是没人懂你。,是你没给机会。,你把自己包得太紧。,#给机会让人懂你,你们还遇到过什么扎心真相？,有时候真相就是那么残忍。,认清真相，依然热爱生活。
62,harsh_truths,扎心真相,你不是因为忙。,你是因为懒。,忙只是借口，懒才是真相。,#懒,这个真相，扎心了吗？,有时候真相就是那么残忍。,想通了就好了。
63,harsh_truths,扎心真相,不是感情变了。,是你要求多了。,一开始你怎么不觉得？,#要求太多,你们觉得我说得对吗？,说白了，就是不敢面对。,认清真相，依然热爱生活。
64,harsh_truths,扎心真相,不是他不懂浪漫。,是你没说需要什么。,别让人猜，直接说。,#直接说,这个真相，扎心了吗？,承认现实，才能改变。,直面现实，才能成长。
65,harsh_truths,扎心真相,其实你不是因为喜欢他。,你只是害怕孤独。,孤独比爱可怕，所以你来者不拒。,#害怕孤独,这个真相，扎心了吗？,承认现实，才能改变。,直面现实，才能成长。
66,harsh_truths,扎心真相,不是你没时间。,你只是不想做。,把时间留给了更轻松的事。,#时间都去哪了,你们觉得我说得对吗？,说白了，就是不敢面对。,直面现实，才能成长。
67,harsh_truths,扎心真相,不是生活没意思。,是你没意思。,同样的生活，有人过得精彩。,#让自己有意思,你们还遇到过什么扎心真相？,说白了，就是不敢面对。,想通了就好了。
68,harsh_truths,扎心真相,不是没人愿意懂你。,是不愿被懂。,被懂了，就没借口孤独了。,#不愿被懂,你们觉得我说得对吗？,有时候真相就是那么残忍。,认清真相，依然热爱生活。
69,harsh_truths,扎心真相,不是梦想太远。,是你不敢出发。,你找了一万个借口，就是不动。,#不敢出发,你们还遇到过什么扎心真相？,有时候真相就是那么残忍。,认清真相，依然热爱生活。
70,harsh_truths,扎心真相,不是世界不公平。,是你没努力。,你只看到别人收获，没看到付出。,#努力,你们还遇到过什么扎心真相？,承认现实，才能改变。,直面现实，才能成长。
71,harsh_truths,扎心真相,其实你都知道。,只是不想做。,知道和做到，中间隔着十万八千里。,#知行合一,这个真相，扎心了吗？,说白了，就是不敢面对。,想通了就好了。
72,harsh_truths,扎心真相,不是你不成熟。,是你不想长大。,长大太累，所以逃避。,#不想长大,你们觉得我说得对吗？,有时候真相就是那么残忍。,直面现实，才能成长。
73,harsh_truths,扎心真相,不是他不爱了。,是你不爱了。,你只是用他的冷漠当借口。,#其实是你不爱了,你们觉得我说得对吗？,说白了，就是不敢面对。,直面现实，才能成长。
74,harsh_truths,扎心真相,不是圈子小。,是你不出去。,宅在家里，圈子当然小。,#走出去,这个真相，扎心了吗？,说白了，就是不敢面对。,想通了就好了。
75,harsh_truths,扎心真相,不是没优点。,是你自己不知道。,你对自己太苛刻。,#发现自己优点,你们还遇到过什么扎心真相？,有时候真相就是那么残忍。,想通了就好了。
76,open_endings,留白召唤,那句话你们都懂。,就是不敢说。,——我还没准备好开始,#你们懂我说的是哪句吗？,评论区有人能接上吗？,心知肚明就好。,不用说出来，我们都懂。
77,open_endings,留白召唤,就不用我说了吧。,你们心里都清楚。,——有些事大家都懂,#评论区见,你们懂我说的是哪句吗？,心知肚明就好。,有些事不必说透。
78,open_endings,留白召唤,那句话。,说出来就不值钱了。,——你们知道我说的是哪句,#说不出口的话,你们心里是不是也有句话？,心知肚明就好。,不用说出来，我们都懂。
79,open_endings,留白召唤,你们都明白的。,我只是替你说出来。,——有些话需要有人说,#终于有人说出来了,评论区有人能接上吗？,有些事，大家都懂，只是不说破。,有些事不必说透。
80,open_endings,留白召唤,我就不点名了。,谁疼谁知道。,——不点名但都知道,#谁疼谁知道,你们心里是不是也有句话？,说出来就没意思了。,有些事不必说透。
81,open_endings,留白召唤,有些事。,心知肚明就好。,——不需要说破,#懂的都懂,你们心里是不是也有句话？,有些事，大家都懂，只是不说破。,给自己留点体面。
82,open_endings,留白召唤,你们都懂。,我就不再重复了。,——无需多言,#无需多言,你们心里是不是也有句话？,有些事，大家都懂，只是不说破。,给自己留点体面。
83,open_endings,留白召唤,那句话。,我们心里都有数。,——但没人愿意说破,#心里有数,评论区有人能接上吗？,有些事，大家都懂，只是不说破。,有些事不必说透。
84,open_endings,留白召唤,我就不说破了。,给自己留点体面。,——体面比真相重要,#给自己留点体面,你们懂我说的是哪句吗？,说出来就没意思了。,有些事不必说透。
85,open_endings,留白召唤,你们都知道答案。,只是不想面对。,——答案就在那里,#答案,你们懂我说的是哪句吗？,说出来就没意思了。,给自己留点体面。
86,open_endings,留白召唤,我就不提醒了。,你们自己清楚。,——不需要提醒,#你们自己清楚,你们心里是不是也有句话？,说出来就没意思了。,有些事不必说透。
87,open_endings,留白召唤,有些话说了。,就没意思了，你们懂。,——说破就没意思了,#说破就没意思了,评论区有人能接上吗？,说出来就没意思了。,不用说出来，我们都懂。
88,open_endings,留白召唤,我们都一样。,只是没人说破。,——说出来就不一样了,#我们都一样,你们懂我说的是哪句吗？,有些事，大家都懂，只是不说破。,给自己留点体面。
89,open_endings,留白召唤,我就不煽情了。,你们自己体会。,——自己体会更深,#自己体会,评论区有人能接上吗？,说出来就没意思了。,不用说出来，我们都懂。
90,open_endings,留白召唤,这句话的力量。,你们感受一下。,——不需要解释,#感受一下,你们心里是不是也有句话？,说出来就没意思了。,有些事不必说透。
91,open_endings,留白召唤,不用我多说。,你们都懂这种感觉。,——大家都懂,#大家都懂,评论区有人能接上吗？,心知肚明就好。,给自己留点体面。
92,open_endings,留白召唤,我就不劝你们了。,你们自己看着办。,——自己的选择,#自己的选择,评论区有人能接上吗？,说出来就没意思了。,给自己留点体面。
93,open_endings,留白召唤,这种感受。,只有经历过的人才懂。,——经历过才懂,#经历过才懂,你们懂我说的是哪句吗？,有些事，大家都懂，只是不说破。,给自己留点体面。
94,open_endings,留白召唤,我就不展开说了。,你们自己悟。,——自己悟的才深刻,#自己悟,你们懂我说的是哪句吗？,有些事，大家都懂，只是不说破。,给自己留点体面。
95,open_endings,留白召唤,这句话的分量。,自己体会。,——不需要解释,#自己体会,评论区有人能接上吗？,心知肚明就好。,给自己留点体面。
96,open_endings,留白召唤,我就不说透了。,点到为止。,——说透就没意思了,#点到为止,你们懂我说的是哪句吗？,有些事，大家都懂，只是不说破。,有些事不必说透。
97,open_endings,留白召唤,这种痛。,只有经历过的人才明白。,——经历过才明白,#经历过才明白,评论区有人能接上吗？,心知肚明就好。,给自己留点体面。
98,open_endings,留白召唤,不用我多说。,看看你自己。,——答案在自己身上,#看看你自己,你们懂我说的是哪句吗？,心知肚明就好。,不用说出来，我们都懂。
99,open_endings,留白召唤,我就不评价了。,你们自己判断。,——自己判断,#自己判断,你们心里是不是也有句话？,心知肚明就好。,有些事不必说透。
100,open_endings,留白召唤,这种心情。,你们都懂。,——大家都懂,#大家都懂,评论区有人能接上吗？,说出来就没意思了。,有些事不必说透。
